thcbr,thcno,THCName,TOTDKT,actuwt,ContractRS,vehno,thcdt,routename,outacm,coming_from,actdept_dt,actdept_tm,depdate_prevbr,deptime_prevbr,DTDep,stat,FreeSpace,lastlocation,DaysFromStart
MYS,MYS_/THC/0700027,MYS : Mysore Branch,2.00,1360.0,0,KA01B903,22 Jun 2007, MYS-YPR-BLR,,,6/23/2007 12:00:00 AM,15:16,6/21/2007,12:08,21 Jun 2007-12:08,Yet to Arrive,,,22
BMS,BMS_/THC/0700424,BMS : Bommasandra Branch,1.00,105.0,0,ka13a1899,22 Jun 2007, BMS-BLR-YPR,,,6/22/2007 12:00:00 AM,00:30,,,,Yet to Arrive,,,22
MYS,MYS_/THC/0000182,MYS : Mysore Branch,4.00,2000.0,0,KA03 4079,22 Oct 2006,MYS-BLR-YPR,0,BLR,10/22/2006 12:00:00 AM,13:59,10/21/2006,00:12,21 Oct 2006-00:12,Departed,0,BLR,265
MYS,MYS_/THC/0000147,MYS : Mysore Branch,7.00,1989.0,0,KA37 5553,22 Sep 2006,MYS-BLR-YPR,0,BLR,9/23/2006 12:00:00 AM,12:00,9/21/2006,20:40,21 Sep 2006-20:40,Departed,0,BLR,295
CJB,CJB_/THC/0000080,CJB : Coimbatore branch,3.00,492.0,0,KA02AA2349,23 Apr 2006,CJB-BLR-YPR,0,BLR,5/10/2006 12:00:00 AM,10:00,4/4/2006,23:21,04 Apr 2006-23:21,Departed,0,BLR,447
BMS,BMS_/THC/0700439,BMS : Bommasandra Branch,1.00,30.0,0,KA13A1899,23 Jun 2007, BMS-BLR-YPR,,,6/23/2007 12:00:00 AM,02:08,,,,Yet to Arrive,,,21
BMS,BMS_/THC/0700442,BMS : Bommasandra Branch,1.00,86.0,0,KA514153,23 Jun 2007, BMS-BLR-YPR,,,6/23/2007 12:00:00 AM,04:29,,,,Yet to Arrive,,,21
SLM,SLM_/THC/0000053,SLM : Salem Branch/HUB,1.00,80.0,0,KA05B7099,25 May 2006,SLM-BLR-YPR,0,BLR,5/26/2006 12:00:00 AM,09:00,4/9/2006,3:16,09 Apr 2006-3:16,Departed,0,BLR,415
MYS,MYS_/THC/0000183,MYS : Mysore Branch,11.00,6350.0,0,KA03 4079,25 Oct 2006,MYS-BLR-YPR,0,BLR,10/25/2006 12:00:00 AM,09:01,10/25/2006,01:30,25 Oct 2006-01:30,Departed,0,BLR,262
MYS,MYS_/THC/0000185,MYS : Mysore Branch,2.00,190.0,0,ka03 4079,25 Oct 2006,MYS-BLR-YPR,0,BLR,10/26/2006 12:00:00 AM,06:20,10/21/2006,10:30,21 Oct 2006-10:30,Departed,0,BLR,262
MYS,MYS_/THC/0000184,MYS : Mysore Branch,2.00,1080.0,0,KA03 4079,25 Oct 2006,MYS-BLR-YPR,0,BLR,10/25/2006 12:00:00 AM,11:59,10/22/2006,10:30,22 Oct 2006-10:30,Departed,0,BLR,262
MYS,MYS_/THC/0000063,MYS : Mysore Branch,5.00,816.0,0,KA01B0904,26 Jun 2006,MYS-BLR-YPR,0,BLR,6/30/2006 12:00:00 AM,8:30,6/23/2006,12:32,23 Jun 2006-12:32,Departed,0,BLR,383
MYS,MYS_/THC/0700030,MYS : Mysore Branch,2.00,820.0,0,KA01B0904,26 Jun 2007, MYS-YPR-BLR,,,6/27/2007 12:00:00 AM,11:40,6/25/2007,21:16,25 Jun 2007-21:16,Yet to Arrive,,,18
