thcbr,thcno,THCName,TOTDKT,actuwt,ContractRS,vehno,thcdt,routename,outacm,coming_from,actdept_dt,actdept_tm,depdate_prevbr,deptime_prevbr,DTDep,stat,FreeSpace,lastlocation,DaysFromStart
SLM,SLM_/THC/0000020,SLM : Salem Branch/HUB,1.00,69.0,0,KA05B7099,16 May 2006,SLM-BLR-YPR,0,BLR,5/17/2006 12:00:00 AM,12:00,4/30/2006,3:20,30 Apr 2006-3:20,Departed,0,BLR,424
SLM,SLM_/THC/0000022,SLM : Salem Branch/HUB,1.00,80.0,0,TN37AC8192,16 May 2006,SLM-BLR-YPR,0,BLR,5/17/2006 12:00:00 AM,12:00,5/14/2006,4:05,14 May 2006-4:05,Departed,0,BLR,424
CJB,CJB_/THC/0000374,CJB : Coimbatore branch,1.00,17.0,0,NILLLLL,16 May 2006,CJB-BLR-PNQ,0,BLR,5/17/2006 12:00:00 AM,12:00,5/11/2006,15:50,11 May 2006-15:50,Departed,0,BLR,424
CJB,CJB_/THC/0000383,CJB : Coimbatore branch,2.00,30.0,0,AIR THC,16 May 2006,CJB-BLR-PNQ,0,BLR,5/17/2006 12:00:00 AM,12:00,5/12/2006,15:50,12 May 2006-15:50,Departed,0,BLR,424
CJB,CJB_/THC/0000409,CJB : Coimbatore branch,1.00,21.0,0,AIR THC,16 May 2006,CJB-BLR-PNQ,0,BLR,5/17/2006 12:00:00 AM,12:00,5/15/2006,15:50,15 May 2006-15:50,Departed,0,BLR,424
CJB,CJB_/THC/0000419,CJB : Coimbatore branch,1.00,125.0,0,AIT THC,16 May 2006,CJB-BLR-PNQ,0,BLR,5/17/2006 12:00:00 AM,12:00,5/16/2006,15:50,16 May 2006-15:50,Departed,0,BLR,424
SLM,SLM_/THC/0000004,SLM : Salem Branch/HUB,1.00,175.0,0,KA09A3726,16 May 2006,SLM-BLR-YPR,0,BLR,5/17/2006 12:00:00 AM,12:30,5/5/2006,04:15,05 May 2006-04:15,Departed,0,BLR,424
SLM,SLM_/THC/0000008,SLM : Salem Branch/HUB,1.00,95.0,0,KA09A3726,16 May 2006,SLM-BLR-YPR,0,BLR,5/17/2006 12:00:00 AM,12:00,5/11/2006,4:00,11 May 2006-4:00,Departed,0,BLR,424
SLM,SLM_/THC/0000009,SLM : Salem Branch/HUB,1.00,85.0,0,KA09A3726,16 May 2006,SLM-BLR-YPR,0,BLR,5/17/2006 12:00:00 AM,12:00,5/11/2006,4:00,11 May 2006-4:00,Departed,0,BLR,424
SLM,SLM_/THC/0000010,SLM : Salem Branch/HUB,1.00,202.0,0,TN37W5959,16 May 2006,SLM-BLR-YPR,0,BLR,5/17/2006 12:00:00 AM,12:10,5/12/2006,11:33,12 May 2006-11:33,Departed,0,BLR,424
SLM,SLM_/THC/0000023,SLM : Salem Branch/HUB,1.00,220.0,0,KA09A3726,16 May 2006,SLM-BLR-YPR,0,BLR,5/17/2006 12:00:00 AM,12:20,5/15/2006,2:24,15 May 2006-2:24,Departed,0,BLR,424
MYS,MYS_/THC/0000205,MYS : Mysore Branch,3.00,606.0,0,KA01B0904,16 Nov 2006,MYS-BLR-YPR,0,BLR,11/17/2006 12:00:00 AM,1:21,11/15/2006,23:30,15 Nov 2006-23:30,Departed,0,BLR,240
MYS,MYS_/THC/0000175,MYS : Mysore Branch,6.00,5071.0,0,KA03 4079,16 Oct 2006,MYS-BLR-YPR,0,BLR,10/18/2006 12:00:00 AM,23:30,10/14/2006,23:50,14 Oct 2006-23:50,Departed,0,BLR,271
MYS,MYS_/THC/0000140,MYS : Mysore Branch,5.00,3374.0,0,KA01B0904,16 Sep 2006,MYS-BLR-YPR,0,BLR,9/16/2006 12:00:00 AM,14:30,9/14/2006,23:55,14 Sep 2006-23:55,Departed,0,BLR,301
MYS,MYS_/THC/0000141,MYS : Mysore Branch,5.00,3276.0,0,KA01B0904,16 Sep 2006,MYS-BLR-YPR,0,BLR,9/16/2006 12:00:00 AM,14:40,9/15/2006,23:55,15 Sep 2006-23:55,Departed,0,BLR,301
BMS,BMS_/THC/0000850,BMS : Bommasandra Branch,15.00,728.0,0,KA530517,17 Aug 2006,BMS-BLR-YPR,0,BLR,8/17/2006 12:00:00 AM,13:20,8/17/2006,00:53,17 Aug 2006-00:53,Departed,0,BLR,331
MYS,MYS_/THC/0000177,MYS : Mysore Branch,7.00,3637.0,0,KA03 4079,17 Oct 2006,MYS-BLR-YPR,0,BLR,10/18/2006 12:00:00 AM,09:59,10/17/2006,02:00,17 Oct 2006-02:00,Departed,0,BLR,270
BMS,BMS_/THC/0000857,BMS : Bommasandra Branch,6.00,1231.0,0,KA01B541,18 Aug 2006,BMS-BLR-YPR,0,BLR,8/18/2006 12:00:00 AM,16:40,8/17/2006,20:26,17 Aug 2006-20:26,Departed,0,BLR,330
