from_report_loc,from_loccode,docktot,No_delay,No_delay_per,delay_1DAY,delay_1DAY_per,delay_2DAY,delay_2DAY_per,delay_3DAY,delay_3DAY_per,delay_DAYs,delay_DAYs_per
NRHQ,DEL,35,29,82.86,6,17.14,0,0.00,0,0.00,0,0.00
PNRO,PNQ,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0.00
SRHQ,BLR,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00
