report_loc,loccode,locname,totdkt,Quickdkt,Operdkt,Findkt,TotalChgWt,Sno,Loc,per1,per2
NRHQ,DEL,DELHI,1,0,0,1,100.0,1,DEL : DELHI,100,100
SRHQ,BLR,Banglore Airport,3,1,0,2,322.0,1,BLR : Banglore Airport,100,150
