loccode,locName,BIllgenerated,BIllgenerated_amt,Billsubmited,Billsubmited_amt,Billsubmited_notdue,Billsubmited_notdue_amt,Billunsubmited,Billunsubmited_amt,Billunsubmited_notdue,Billunsubmited_notdue_amt,Collected,Collected_amt
DEL,DELHI,3,34449,0,0,0,0,0,0,3,34449,0,0
HQTR,HEAD OFFICE,2,6107,0,0,0,0,0,0,2,6107,0,0
